"(32.300193, -106.76078)"
"(29.036879, -95.44103)"
"(43.153969, -93.20037)"
"(27.201006, -81.87196)"
"(31.73003, -99.00605)"
"(35.893121, -101.95908)"
"(33.591301, -85.83571)"
"(32.855666, -97.21818)"
"(27.1944, -80.84644)"
"(38.130807, -92.66935)"
"(31.574319, -90.45029)"
"(27.055013, -82.3973)"
"(26.63075, -81.95251)"
"(40.706925, -74.008154)"
"(35.184253, -101.81073)"
"(36.707393, -97.10167)"
"(35.135303, -106.52223)"
"(37.520836, -84.6735)"
"(32.532449, -95.88)"
"(30.089757, -93.77408)"
"(39.69775, -86.39589)"
"(35.615216, -105.952788)"
"(35.073343, -106.58232)"
"(38.087838, -88.15583)"
"(38.935305, -92.73932)"
"(40.266201, -94.0304)"
"(30.761081, -81.56912)"
"(35.586064, -92.48355)"
"(36.543362, -91.52391)"
"(30.45514, -91.06358)"
"(36.139385, -96.16523)"
"(32.638316, -83.64332)"
""
"(38.370203, -104.61964)"
"(41.370642, -88.40749)"
"(31.209854, -84.23667)"
"(37.630577, -93.10129)"
"(34.96848, -89.99793)"
"(29.909764, -96.8745)"
"(42.974296, -90.14404)"
"(30.056394, -95.38961)"
"(39.179485, -81.37836)"
"(41.35263, -88.84734)"
"(35.106396, -106.57927)"
"(35.067447, -106.50645)"
"(30.646415, -88.23657)"
"(40.290615, -86.5028)"
"(33.723939, -85.14282)"
"(28.287883, -81.46862)"
""
"(28.769173, -81.27631)"
"(29.722704, -95.6314)"
"(29.021782, -81.33352)"
"(27.918187, -81.493521)"
"(31.828575, -81.61617)"
"(33.159848, -85.36865)"
"(29.699844, -98.10754)"
"(33.496603, -101.86923)"
"(30.586808, -88.18552)"
"(32.220155, -82.41493)"
"(37.471802, -105.83471)"
"(36.996408, -91.71697)"
"(38.408794, -86.93876)"
"(32.408311, -104.29134)"
"(41.885553, -103.65241)"
"(29.56218, -95.26982)"
"(41.759473, -89.69452)"
"(32.420814, -90.13134)"
""
"(36.414942, -105.5808)"
"(35.031947, -80.56002)"
"(34.201503, -84.09764)"
"(36.537994, -86.01497)"
"(32.846645, -96.96733)"
"(33.991362, -81.25047)"
"(31.535545, -91.35434)"
"(39.523797, -85.77208)"
"(40.909197, -97.11206)"
"(42.499242, -94.18256)"
""
"(31.358823, -89.2279)"
"(34.839562, -97.60045)"
"(41.813776, -89.70537)"
"(38.092097, -91.4163)"
"(41.725288, -93.60475)"
"(36.04309, -95.88417)"
"(41.750868, -91.13361)"
"(31.388404, -103.52515)"
"(34.38587, -100.28401)"
"(32.675604, -97.02346)"
"(39.652374, -86.87361)"
"(29.56478, -97.96283)"
"(32.284829, -90.22778)"
"(30.396876, -87.69616)"
"(40.160138, -105.01772)"
"(35.534253, -108.84857)"
"(30.877528, -102.852)"
""
"(28.463509, -81.47514)"
"(33.0409, -83.92941)"
"(30.807279, -83.28661)"
"(42.587613, -88.45828)"
"(40.627946, -73.94552)"
"(43.345879, -91.77187)"
"(31.325437, -89.37926)"
"(30.05031, -89.95638)"
"(31.121411, -99.3407)"
"(32.547424, -94.37958)"
"(33.580878, -84.54611)"
"(30.447248, -86.62113)"
"(32.594698, -83.64873)"
"(38.208144, -86.12978)"
"(40.722897, -77.96941)"
"(40.633845, -103.21574)"
"(40.868946, -73.08009)"
"(34.191002, -101.72506)"
""
"(32.31324, -86.23672)"
"(41.935139, -89.06891)"
"(35.635275, -78.4489)"
"(27.645377, -80.51468)"
"(30.468526, -90.92827)"
"(39.123807, -88.56)"
"(34.027533, -84.51475)"
"(34.432846, -103.22589)"
"(32.781329, -97.40099)"
"(33.268185, -84.27306)"
""
""
"(28.665125, -81.31772)"
"(31.535916, -97.18588)"
""
"(30.760184, -86.58533)"
"(33.591877, -101.94754)"
"(33.649938, -96.65387)"
"(38.259528, -94.32317)"
"(35.70701, -81.3534)"
"(35.208709, -89.80518)"
"(30.096649, -96.06979)"
"(31.138011, -83.716729)"
"(28.658395, -81.50319)"
"(41.464473, -90.15854)"
"(42.743948, -90.48625)"
"(28.172041, -80.59957)"
"(28.663132, -82.14042)"
"(30.073941, -90.48516)"
"(40.383636, -105.10349)"
""
"(37.191882, -104.47809)"
"(32.77516, -97.77987)"
"(31.70831, -106.32749)"
"(43.984412, -90.48416)"
"(37.344985, -108.60355)"
"(27.997276, -81.74554)"
"(29.869283, -90.10933)"
"(30.52798, -89.66611)"
"(36.681589, -93.85105)"
"(30.461786, -89.10381)"
"(43.543934, -90.89904)"
"(32.823629, -97.45167)"
"(28.470236, -82.59741)"
"(28.073891, -80.67167)"
"(27.448688, -80.36247)"
"(34.009209, -96.38612)"
"(30.641487, -81.46092)"
"(40.421845, -104.69175)"
"(37.067387, -97.02831)"
"(32.156791, -91.72874)"
"(43.96977, -90.80796)"
"(32.339004, -88.6596)"
"(41.017736, -91.95)"
"(38.533464, -106.03468)"
"(44.07393, -93.22716)"
"(39.385141, -104.85962)"
"(39.532506, -106.14029)"
"(42.235058, -77.20491)"
"(28.142694, -82.46629)"
"(30.627637, -87.16724)"
"(29.997168, -90.2138)"
"(30.674057, -88.10249)"
"(28.209833, -82.66973)"
"(38.367298, -97.67719)"
"(36.025405, -95.92953)"
"(39.482105, -86.05043)"
"(29.353735, -98.61423)"
"(25.918758, -97.42739)"
"(33.657969, -93.59486)"
"(38.860447, -90.09418)"
"(29.369619, -96.86644)"
"(27.78783, -80.48266)"
"(35.934783, -81.54476)"
"(30.36298, -88.52901)"
"(31.043454, -85.87941)"
"(31.06639, -98.19192)"
"(31.485438, -83.503621)"
"(36.58068, -87.4056)"
"(30.403146, -84.18841)"
"(32.878304, -83.59963)"
"(31.754011, -99.93695)"
"(34.688716, -84.46716)"
"(30.307439, -81.72044)"
